DEPTH,AZIMUTH,DEVIATION,TVD
0.0,0.0,0.0,0.0
151.0,342.3,0.49,151.0
170.67,13.4,1.27,170.67
189.73,351.0,1.51,189.72
208.82,331.6,1.57,208.8
227.55,8.8,2.13,227.52
246.67,336.0,4.47,246.61
265.98,350.5,6.72,265.83
285.24,347.4,8.55,284.92
304.38,338.5,9.52,303.82
323.46,326.3,10.79,322.61
342.52,321.2,12.26,341.28
361.77,320.5,12.77,360.07
380.7,321.5,12.53,378.54
399.94,319.9,12.77,397.32
419.03,318.4,13.74,415.9
438.32,319.4,14.42,443.61
456.68,322.0,18.42,471.41
457.55,320.9,16.32,453.15
495.77,321.2,21.46,489.35
515.04,319.8,23.24,507.04
534.28,319.6,27.61,524.27
553.54,320.1,28.9,541.23
572.83,319.4,29.8,558.05
591.94,318.9,30.93,574.53
611.01,318.6,32.17,590.79
630.36,318.5,35.45,606.86
649.43,319.9,37.78,622.17
668.6,321.3,40.11,637.08
687.65,321.5,39.82,651.68
707.09,321.8,39.24,666.67
726.18,321.3,38.28,681.56
745.28,321.5,37.83,696.6
764.33,321.2,37.11,711.71
795.23,321.1,37.0,736.37
814.26,321.2,37.3,751.54
833.58,320.9,37.78,766.86
852.71,320.2,37.41,782.02
871.76,319.6,37.21,797.17
890.93,319.3,37.4,812.42
910.14,319.7,36.89,827.73
929.17,320.3,36.44,843.0
947.87,320.0,36.63,858.02
966.69,320.2,36.81,873.11
985.97,319.8,37.06,888.52
1005.1,319.7,37.19,903.77
1024.62,319.5,37.93,919.3
1043.43,319.5,37.81,934.2
1062.51,319.6,37.68,949.29
1081.6,319.8,37.92,964.38
1100.87,320.3,38.03,979.57
1119.92,320.2,38.5,994.52
1139.24,320.5,38.36,1009.66
1158.3,324.0,37.57,1024.6801
1177.39,323.9,37.82,1039.79
1196.12,323.7,38.12,1054.5601
1215.24,323.8,38.3,1069.58
1234.55,323.0,38.65,1084.7
1253.81,322.8,38.77,1099.73
1272.15,322.9,38.95,1114.01
1292.03,322.3,38.88,1129.47
1311.91,322.3,38.88,1144.95
1330.34,322.5,39.06,1159.28
1349.27,321.9,39.0,1173.98
1358.1,322.1,38.79,1180.86
1377.76,322.9,37.66,1196.3
1396.44,325.0,36.11,1211.24
1415.89,326.2,35.87,1226.98
1435.09,326.1,36.5,1242.48
1454.34,325.0,38.02,1257.8
1473.5,325.9,38.58,1272.83
1492.57,325.8,38.5,1287.75
1511.68,325.6,38.32,1302.72
1530.97,325.5,38.91,1317.8
1549.99,325.3,39.04,1332.58
1568.63,325.3,38.61,1347.1
1587.91,325.3,38.55,1362.1801
1606.72,324.8,38.26,1376.92
1625.9,325.3,38.5,1391.95
1645.22,325.8,38.55,1407.0699
1664.63,325.7,38.42,1422.26
1683.36,325.6,38.0,1436.98
1702.34,325.7,38.53,1451.88
1721.69,326.2,39.52,1466.91
1740.73,326.0,39.65,1481.59
1759.98,325.9,39.43,1496.4301
1779.09,326.2,39.32,1511.2
1798.18,326.07,39.45,1525.88
1816.9,325.52,39.77,1540.3
1836.02,325.5,39.9,1554.98
1855.14,325.11,39.51,1569.6899
1874.64,325.24,39.89,1584.6899
1893.72,325.56,40.69,1599.25
1912.82,325.93,40.71,1613.73
1931.87,325.62,40.63,1628.1801
1950.99,325.23,40.6,1642.6899
1970.25,325.06,40.13,1657.37
1989.15,325.5,40.23,1671.8101
2008.43,325.1,40.57,1686.49
2027.49,324.99,40.16,1701.01
2046.77,325.23,40.15,1715.75
2066.0,326.12,40.87,1730.37
2085.11,326.46,40.57,1744.85
2104.4,326.27,40.01,1759.5601
2123.65,326.01,40.04,1774.3101
2142.74,326.55,41.16,1788.8
2162.19,326.74,41.29,1803.4301
2181.29,326.63,40.58,1817.86
2200.38,326.1,40.04,1832.42
2219.52,325.23,40.25,1847.05
2238.79,324.3,40.81,1861.6899
2257.92,323.65,40.12,1876.25
2277.01,323.82,39.47,1890.91
2296.32,323.11,38.92,1905.88
2314.24,322.55,38.41,1919.87
2333.52,322.12,38.1,1935.01
2352.75,322.05,37.64,1950.1899
2371.86,321.43,37.2,1965.37
2391.15,321.39,36.64,1980.79
2410.4,320.97,36.0,1996.3
2429.49,320.95,35.81,2011.76
2448.94,320.37,36.63,2027.45
2468.04,320.53,38.41,2042.6
2487.13,320.33,38.64,2057.54
2506.27,320.39,39.39,2072.4099
2525.54,320.61,41.38,2087.0901
2544.67,321.1,43.28,2101.23
2563.76,321.68,43.56,2115.0901
2583.07,321.24,42.99,2129.1499
2602.31,320.9,42.62,2143.27
2621.38,320.85,43.03,2157.26
2640.44,320.54,43.21,2171.1699
2659.51,320.47,42.86,2185.1101
2678.65,319.96,42.74,2199.1499
2697.78,319.45,42.99,2213.1699
2716.5,319.54,43.22,2226.8401
2735.76,319.64,43.5,2240.8401
2755.03,319.41,43.38,2254.8301
2774.1,319.39,43.14,2268.72
2792.79,319.27,42.58,2282.4199
2811.86,318.86,41.99,2296.53
2830.93,318.7,41.91,2310.71
2849.88,318.13,41.49,2324.9399
2869.19,318.67,41.13,2339.3701
