Wellname,Formation,Top (m)
Cheal B-2,Egmont Volcanics,4
Cheal B-2,Tangahoe,124
Cheal B-2,Matemateaonga,277
Cheal B-2,Kiore Sandstone,955
Cheal B-2,Urenui,1212
Cheal B-2,Mount Messenger,1532
Cheal B-2,Manganui,1793
Cheal B-3,Egmont Volcanics,4
Cheal B-3,Tangahoe,128
Cheal B-3,Matemateaonga,278
Cheal B-3,Kiore Sandstone,930
Cheal B-3,Urenui,1209
Cheal B-3,Mount Messenger,1550
Cheal B-3,Manganui,1839
Cheal-1,Tangahoe,142
Cheal-1,Matemateaonga,260
Cheal-1,Urenui,1240
Cheal-1,Mount Messenger,1757
Cheal-1,Manganui,1814
Cheal-1,Moki,2336
Cheal-2,Tangahoe,143
Cheal-2,Matemateaonga,340
Cheal-2,Urenui,1240
Cheal-2,Mount Messenger,1699
Cheal-2,Manganui,1861
Cheal-A3X,Tangahoe,88
Cheal-A3X,Matemateaonga,338
Cheal-A3X,Kiore Sandstone,1019
Cheal-A3X,Urenui,1264
Cheal-A3X,Mount Messenger,1610
Cheal-A3X,Manganui,1861
Cheal-A4,Tangahoe,87
Cheal-A4,Matemateaonga,337
Cheal-A4,Kiore Sandstone,1003
Cheal-A4,Urenui,1245
Cheal-A4,Mount Messenger,1610
Cheal-A4,Manganui,1822
Cheal-A6,Matemateaonga,400
Cheal-A6,Kiore Sandstone,1035
Cheal-A6,Urenui,1304
Cheal-A6,Mount Messenger,1668
Cheal-A6,Manganui,1871
Cheal-A7,Matemateaonga,264
Cheal-A7,Kiore Sandstone,1008
Cheal-A7,Urenui,1259
Cheal-A7,Mount Messenger,1600
Cheal-A7,Cheal Sandstone,1694
Cheal-A7,Manganui,1771
Cheal-B1,Egmont Volcanics,4
Cheal-B1,Tangahoe,126
Cheal-B1,Matemateaonga,276
Cheal-B1,Kiore Sandstone,957
Cheal-B1,Urenui,1216
Cheal-B1,Mount Messenger,1531
Cheal-B1,Upper Manganui,1806
Cheal-B4,Egmont Volcanics,4
Cheal-B4,Tangahoe,123
Cheal-B4,Matemateaonga,275
Cheal-B4,Kiore Sandstone,1014
Cheal-B4,Urenui,1349
Cheal-B4,Mount Messenger,1692
Cheal-B4,Manganui,1849
Cheal-B4,Moki,2423
